first_name,last_name,email
Maria Elena,Gonzales Ramirez,mgonzalesr@unsa.edu.pe
Carlos Alberto,Martinez Lopez,cmartinezlo@unsa.edu.pe
Laura Patricia,Silva Mendoza,lsilvamen@unsa.edu.pe
Roberto Andres,Castro Diaz,rcastrod@unsa.edu.pe
Ana Cecilia,Torres Herrera,atorresh@unsa.edu.pe
Javier Ernesto,Rojas Quispe,jrojasq@unsa.edu.pe
Sofia Alejandra,Vargas Paredes,svargasp@unsa.edu.pe
Miguel Angel,Chavez Flores,mchavezf@unsa.edu.pe
Carmen Rosa,Ortega Medina,cortegam@unsa.edu.pe
David Fernando,Nuñez Castillo,dnunezc@unsa.edu.pe
